PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
AR0000338,39,338039,HAA5,1.838,0.806,0.63525,1.79375,4.268,0.2315,0,0,2.61625
AR0000360,28,360028,HAA5,4.3555,2.90675,0.82225,0.5015,32.35575,0.64325,2.972,0,15.186
AR0000365,12,365012,HAA5,0.5365,0,0,0.154,1.269,0,0,0,0.636
AR0000404,6,404006,HAA5,3.2625,4.50125,0.66625,0.27875,15.72575,0.1105,0.56,0,21.4385
AR0000415,7,415007,HAA5,0.65,0,0,2.35,0.23,0,0,0,0
AR0000437,1,437001,HAA5,1.61,1.575,0,0,10.275,0,0,0,11.45
AR0000446,7,446007,HAA5,1.4985,1.50375,0.0895,0,25.72775,0,2.571,0,23.38225
AR0000449,7,449007,HAA5,5.5,3.35,1.4,1.6,6.85,0.37,0,0,7.3
AR0000465,52,465052,HAA5,2.0535,1.625,0,0,15.578,0.07725,2.1665,0,11.0705
AR0000466,19,466019,HAA5,2.044,1.43125,0.12675,0.0795,16.579,0.3335,3.3515,0,11.205
AR0000484,19,484019,HAA5,1.94025,2.11625,0.42975,0.1695,9.66975,0,0,0,9.09
AR0000486,13,486013,HAA5,1.94775,1.43025,0.1795,0,11.76775,0.082,0.5175,0,8.62775
AR0000492,5,492005,HAA5,2.067,1.58725,0.07775,0,15.192,0,2.0055,0,11.02875
AR0000493,22,493022,HAA5,0.47425,1.1785,0.07825,0,3.55325,0,0,0,11.4205
AR0000498,30001,498010,HAA5,2.075,1.25,0.095,0,14.575,0,0,0,9.525
AR0000507,22,507022,HAA5,1.948,1.495,0.13175,0.1275,11.76525,0,0.551,0,9.292
AR0000513,23,513023,HAA5,1.03,1.48425,0.396,0.37375,6.51625,0.41425,0.6385,0,10.80925
AR0000527,4,527004,HAA5,0.716,0.542,0,0,2.461,0,0,0,1.2995
AR0000550,18,550018,HAA5,2.305,0.782,1.108,5.405,1.812,0.405,0,0,0.856
AR0000569,17,569017,HAA5,2.2415,1.3845,0.13425,0,17.82425,0.16425,2.287,0,9.4315
AR0000573,3,573003,HAA5,2.35,2.375,0.08,0,14.375,0.105,1.05,0,19.75
AR0000574,8,574008,HAA5,2.151,2.8485,0.21675,0.0875,19.06,0,1.11975,0,23.8025
AR0000575,5,575005,HAA5,2.5865,1.45825,0,0.091,24.01575,0.0755,2.537,0,12.054
AR0000579,6,579006,HAA5,1.52,2.1,0.076225,0,10.625,0,0,0,19.25
AR0000584,4,584004,HAA5,2,2.05,0,0,11.325,0,0,0,10.95
AR0000590,16,590016,HAA5,2.61625,2.04325,0.2595,0.095,17.18025,0.16225,2.105,0,11.01925
AR0000690,9,690009,HAA5,2.35,1.675,0.105,0,12.625,0.0825,0.55,0,12
AR0000697,30001,697008,HAA5,3.975,1.8,0.25,0.395,25.25,0,3.1,0,13.9
AR0000714,7,714007,HAA5,0.87,0.89,0.485,0.15,0.795,0,0,0,1.3
AR0000725,17,725017,HAA5,1.27825,1.60575,0.15925,0,7.586,0.08575,0,0,9.53
AR0000734,12,734012,HAA5,0.4405,0.228,0.24975,0.13625,1.86675,0.13175,0,0,1.21775
AR0000738,14,738014,HAA5,1.1295,0.3445,0.6815,1.073,1.254,0,0,0,0.3095
AR0000782,11,782011,HAA5,1.64375,1.938,0.1195,0,21.1205,0.07675,1.9425,0,22.592
AR0000821,20,821020,HAA5,1.3735,1.6055,0.084,0,13.87475,0,1.11375,0,15.5745
AZ0401004,30001,DS1,HAA5,1.15,0.275,0.825,1.95,0.465,0,0,0,0
AZ0402010,17014,CAMINODELNORTE,HAA5,0.19,0,0,0,0.325,0,0,0,0
AZ0402014,1,DS002,HAA5,0.438,0,0,1.19,0,0,0,0,0
AZ0402078,15479,02A,HAA5,0.8675,0,0,0.8865,0.658,0.246,0,0,0
AZ0403003,1,MRT04A,HAA5,0.3365,0,0,0.538,0.269,0,0,0,0
AZ0403008,1,SITEID003,HAA5,2.175,1.85,0.285,0.23,11.575,0,0.525,0.525,9.625
AZ0403702,99001,SM7,HAA5,2.15,1.62,0.332,0.595,11.375,0,0,0,9.52
AZ0404032,1,DS01A,HAA5,0.355,0,0.425,1.05,0,0,0,1,0
AZ0404034,14561,DS002,HAA5,1.48,0.9,0.375,0.42,2.615,0,0,0,2.55
AZ0405005,99001,02A,HAA5,1.1305,0.345,0.942,3.384,0.212,0.2705,0,0,0
AZ0407017,9089,S2DBP001,HAA5,4.81,0.8725,0.9325,4.7075,6.98,0.49,0,0.56,2.715
